,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx
29,KC (KC #0) [Lineage MBNB A right] #29,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB A right,94,109,4claw,0
37365, (Rh6PR-9;left) [] #37365,sens,sens-photoRh6,False,False,False,False,L,-1,-1,unk,0,1,photoRh6,1
40045, (22c ORN left) [] #40045,sens,sens-ORN,False,False,False,False,L,3954014,1082,unk,0,39,ORN,2
40152, (AN-L-Sens-B1-ACa-10) [] #40152,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,7,AN,3
677717,KC (KC1) [Lineage MBNB A right] #677717,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB A right,44,56,4claw,4
766246, (Rh5PR-1;right) [] #766246,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,0,photoRh5,5
855719, (AN-R-motor-14) [*BAmas12_dor_r akira] #855719,unk,unk,False,False,False,True,R,15770867,726,BAmas12_dor,128,0,,6
865151, (BAmas12 midline neuron 2 right) [*BAmas12_ven_r akira] #865151,O_dSEZ,O_dSEZ,False,False,False,True,R,17359101,930,BAmas12_ven,80,20,,7
867393,MB2IN-208 (BAmas lineage neuron right 2) [*BAmas12_dor_r akira] #867393,unk,unk,False,False,False,True,R,9787933,363,BAmas12_dor,155,34,,8
869360, (SEZ cup right) [*BAmas12_ven_r akira] #869360,O_dSEZ,O_dSEZ,False,False,False,True,R,17359133,932,BAmas12_ven,55,43,,9
900032, (Rh6PR-1;right) [] #900032,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,10
902038, (Rh6PR-3;right) [] #902038,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,11
902877, (Rh5PR-2;right) [] #902877,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,0,photoRh5,12
946481, (Rh6PR-8;right) [] #946481,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,13
992646, (BAmas12 contra left; Interneuron--35 in total) [*BAmas12_ven_l akira] #992646,O_dSEZ,O_dSEZ,False,False,False,True,L,15599768,0,BAmas12_ven,96,31,,14
1011675, (AN-L-Sens-B2-ACp-02) [] #1011675,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,14,AN,15
1065967, (DPMl_ant_ven descending right) [*DPMl_ant_ven_r akira] #1065967,O_dVNC,O_dVNC,False,False,False,True,R,17102002,882,DPMl_ant_ven,38,20,,16
1137946, (mixed bpl terminal right ) [*BLP12_r akira] #1137946,unk,unk,False,True,True,True,R,19919566,1067,BLP12,114,0,,17
1141813, (BLVa34 small ipsi 1 right; downstream of basket PN; BLVa34 a 4) [*BLVa34_r akira] #1141813,unk,unk,False,False,False,True,R,17729410,982,BLVa34,37,7,,18
1347886, (AN-L-Sens-B2-AVp-01) [] #1347886,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,37,AN,19
1367171, (AN-L-Sens-B1-ACa-04) [] #1367171,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,1,AN,20
1375101, (AN-L-Sens-B1-AVa-17) [] #1375101,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,13,AN,21
1377586, (AN-L-Sens-B1-ACa-07) [] #1377586,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,2,AN,22
1391179, (AN-L-Sens-B1-ACa-15) [] #1391179,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,8,AN,23
1392771, (AN-L-Sens-B1-ACa-06) [] #1392771,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,7,AN,24
1395971, (AN-L-Sens-B1-ACa-11) [] #1395971,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,7,AN,25
1398253, (AN-L-Sens-B1-ACa-05) [] #1398253,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,13,AN,26
