,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx
16950443, (DALd descending 4 right; DALd_r 9) [*DALd_r akira] #16950443,O_dVNC,O_dVNC,False,False,False,True,R,16670540,1159,DALd,48,22,,0
17173922,MB2IN-171 (DALv3 ring1_right (LAL neuron)) [*DALv3_r akira] #17173922,unk,unk,False,False,False,True,R,16561284,812,DALv3,186,209,,1
9724693, (BLP12 local descending twig 2 right) [*BLP12_r akira] #9724693,unk,unk,False,True,True,True,R,16595001,1158,BLP12,42,17,,2
17654624, (MIXED bilateral 2 right) [*BLVa34_r akira] #17654624,unk,unk,False,False,False,True,R,12273754,1152,BLVa34,223,22,,3
10725068, (MIXED local right; BLVa12 a 3) [*BLVa12_r akira] #10725068,unk,unk,False,False,False,True,R,16059134,1150,BLVa12,243,47,,4
8229118, (Basal Tel-like 1 right) [*BLAv12_post_r akira] #8229118,unk,unk,False,False,False,True,R,21220994,1142,BLAv12_post,213,56,,5
1137946, (mixed bpl terminal right ) [*BLP12_r akira] #1137946,unk,unk,False,True,True,True,R,19919566,1067,BLP12,114,0,,6
11081239, (AF: DPLal BPL-to-medial_right) [*DPLal1-3_r akira,unk,unk,False,False,False,True,R,17732031,986,unk,248,17,,7
8821758, (BLVa34 small ipsi 2 right; BLVa34 a 5) [*BLVa34_r akira] #8821758,unk,unk,False,False,False,True,R,17729424,983,BLVa34,34,3,,8
8880781, (DPMpm1 1 DN right) [*DPMpm1_r akira] #8880781,O_dVNC,O_dVNC,False,False,False,True,R,17223685,906,DPMpm1,63,1,,9
3251140, (BLVp1 hook right) [*BLVp1_r akira] #3251140,unk,unk,False,False,False,True,R,17223643,905,BLVp1,77,18,,10
9530532, (Basal Tel-like 8 right) [*BLAv12_post_r akira] #9530532,unk,unk,False,False,False,True,R,16594752,815,BLAv12_post,319,29,,11
10079731, (BLAv12 ipsi 1 right) [*BLAv12_ant_r akira] #10079731,unk,unk,False,False,False,True,R,16541149,795,BLAv12_ant,77,52,,12
8979434, (DPlal simple bilateral 7 right) [*DPLal1-3_r akira] #8979434,unk,unk,False,False,False,True,R,15689046,719,DPLal1-3,174,32,,13
8412625, (Basal Tel-like 1 right) [*BLAv12_ant_r akira] #8412625,unk,unk,False,False,False,True,R,11291653,491,BLAv12_ant,148,36,,14
8461082, (Basal Tel-like 2 Right) [*BLAvm post_r akira] #8461082,unk,unk,False,False,False,True,R,11084320,476,BLAvm post,218,53,,15
8697453, (Basal Tel-like 3 right) [*BLAvm post_r akira] #8697453,unk,unk,False,False,False,True,R,10982951,457,BLAvm post,137,32,,16
9720614, (Ipsiphone R) [*BLAv12_ant_r akira] #9720614,unk,unk,False,False,False,True,R,10893103,448,BLAv12_ant,173,59,,17
2911847, (DPlal simple bilateral 3 right; BPL to lateral bilateral right) [*DPLal1-3_r akira] #2911847,unk,unk,False,False,False,True,R,10714526,426,DPLal1-3,240,22,,18
7449767, (UNK bilateral gnarled dendrite right) [unknown lineage] #7449767,unk,unk,False,False,False,True,R,8529400,282,unk,40,13,,19
