	 neuron_name	Class 1	Merge Class	is_pdiff	is_usplit	is_LNpre	is_brain	Hemisphere	Pair	Pair ID	Class 2
17962513	 (BLAd lat 1 neuron 8842221_sibling left **MISSING DENDRITE**) [*BLAd-vm_l akira] #17962513	Unk	Unk	False	False	False	True	L	8842220	1013	
17589475	 (UNK descending contralateral right) [unknown lineage] #17589475	O_dVNC	O_dVNC	False	False	False	True	R	11013583	467	
5671303	 (DPlal crinkled 1 left) [*DPlal1-3_ant_l akira] #5671303	Unk	Unk	False	False	False	True	L	8696919	140	
16471422	MB2ON-167 (BS ; Right) [ni-neurons MB_r akira] #16471422	Unk	Unk	False	False	False	True	R	18566361	1040	
8696919	 (DPlal crinkled 1 right; DPLal 2 1 neuron 8696920) [*DPlal1-3_lat_r akira] #8696919	Unk	Unk	False	False	False	True	R	5671303	140	
9237734	MB2ON-169 (BS: ni left) [ni-neurons MB_l akira] #9237734	Unk	Unk	False	False	False	True	L	15800115	327	
16851718	 (DPlal crinkled 2 left) [*DPlal1-3_ant_l akira] #16851718	Unk	Unk	False	False	False	True	L	9097065	842	
15800115	MB2ON-169 (BS: ni right) [ni-neurons MB_r akira] #15800115	Unk	Unk	False	False	False	True	R	9237734	327	
9097065	 (DPlal crinkled 2 right) [*DPLal1-3_r akira] #9097065	Unk	Unk	False	False	False	True	R	16851718	842	
12789813	MB2ON-17 (Tomato Vine_left) [*DPMpm1_l akira] #12789813	O_dSEZ	O_dSEZ	False	False	False	True	L	16405545	580	
11934261	 (DPlal ipsilateral 1 left) [*DPlal1-3_ant_l akira] #11934261	Unk	Unk	False	False	False	True	L	15633329	525	
16405545	MB2ON-17 (Tomato Vine_right) [*DPMpm1_r akira] #16405545	O_dSEZ	O_dSEZ	False	False	False	True	R	12789813	580	
15633329	 (DPlal ipsilateral 1 right; PVL09 downstream) [*DPlal1-3_lat_r akira	Unk	Unk	False	False	False	True	R	11934261	525	
5186443	MB2ON-170 (DALcm12 L m ant lat 1 left) [*DALcm12-v_l akira] #5186443	Unk	Unk	False	False	False	True	L	4346154	128	
9698907	 (DPlal ipsilateral 2 right; BPL with axon around peduncle) [*DPlal1-3_lat_r akira	Unk	Unk	False	False	False	True	R	-1	-1	
4346154	MB2ON-170 (DALcm_r right) [*DALcm12-v_r akira] #4346154	Unk	Unk	False	False	False	True	R	5186443	128	
18111410	 (BLAv1_3_left) [*BLAv12_ant_l akira] #18111410	Unk	Unk	False	False	False	True	L	4876839	1025	
14333495	CN-38	Unk	Unk	False	False	False	True	L	13858797	631	
8592501	 (BLP34 unpaired right) [*BLP34_r akira] #8592501	Unk	Unk	False	False	False	True	R	-1	-1	
16856539	FB-37	FBN	FBN	False	False	False	True	R	10682660	424	
17654967	 (BLP12 hook 1 right -missing dendrite) [*BLP12_r akira] #17654967	Unk	Unk	False	False	False	True	R	16693923	829	
4381377	DAN-g1 (MBE4f left) [*CPb_l akira] #4381377	MBIN	MBIN-DAN	False	False	False	True	L	10673895	84	DAN
5708994	 (BLAvm potential PN left) [*BLAv12_post_l akira	Unk	Unk	False	False	False	True	L	17654617	152	
17383431	 (BAlp_ant ascending dendrite left) [*BAlp_ant_l akira] #17383431	Unk	Unk	False	False	False	True	L	9532295	952	
17150791	CN-44	FAN	FAN	False	False	False	True	L	8712361	894	
17360038	 (DPlal outer bilateral 1 left) [*DPlal1-3_lat_l akira] #17360038	Unk	Unk	False	False	False	True	L	17378483	939	
4422289	MB2ON-175 (SKT_left) [*BLAl_l akira] #4422289	Unk	Unk	False	False	False	True	L	11605861	96	
17378483	 (DPlal outer bilateral 1 right) [*DPlal1-3_lat_r akira	Unk	Unk	False	False	False	True	R	17360038	939	
11605861	MB2ON-175 (SKT_right) [*BLAl_r akira] #11605861	Unk	Unk	False	False	False	True	R	4422289	96	
10382686	MB2ON-176 (MS: CM4 bc 2 ant lat left) [*CM4-dm_l akira] #10382686	O_dSEZ	O_dSEZ	False	False	False	True	L	16100103	399	
8687096	 (DPlal outer bilateral 2 left) [*DPlal1-3_lat_l akira] #8687096	Unk	Unk	False	False	False	True	L	9643439	286	
16100103	MB2ON-176 (MS: CM4 bc 2 ant lat right) [*CM4-dm_r akira] #16100103	O_dSEZ	O_dSEZ	False	False	False	True	R	10382686	399	
9643439	 (DPlal outer bilateral 2 right) [*DPlal1-3_lat_r akira] #9643439	Unk	Unk	False	False	False	True	R	8687096	286	
4279887	MB2ON-178 (Chong left) [*BLP12_l akira	Unk	Unk	False	False	False	True	L	10293348	77	
9241349	 (DPlal simple bilateral 1 right; Tel-like 4? with anterior cell body) [*DPLal1-3_r akira] #9241349	Unk	Unk	False	False	False	True	R	6633635	189	
10293348	MB2ON-178 (Chong right) [*BLP12_r akira] #10293348	Unk	Unk	False	False	False	True	R	4279887	77	
6633635	 (DPlal simple bilateral 1? left) [*DPLal1-3_l akira] #6633635	Unk	Unk	False	False	False	True	L	9241349	189	
8276782	MB2ON-183	mPN	mPN-olfac	False	False	False	True	L	4119387	269	olfac
4700078	mPN	mPN	mPN-olfac	False	False	False	True	R	3450442	36	olfac
15676016	 (DPlal simple bilateral 2 left) [*DPlal1-3_ant_l akira] #15676016	Unk	Unk	False	False	False	True	L	3058132	718	
4119387	MB2ON-183	mPN	mPN-olfac	False	False	False	True	R	8276782	269	olfac
3058132	 (DPlal simple bilateral 2 right) [*DPlal1-3_ant_r akira	Unk	Unk	False	False	False	True	R	15676016	718	
2568522	MB2ON-185 (Another Upper Comissure PN right) [*BAmd2_v_r akira] #2568522	Unk	Unk	False	False	False	True	R	12612426	572	
10714526	 (DPlal simple bilateral 3 left) [*DPLal1-3_l akira] #10714526	Unk	Unk	False	False	False	True	L	2911847	427	
12612426	MB2ON-185 (BAmd2 r Columbus of GPhN left) [*BAmd2_v_l akira] #12612426	Unk	Unk	False	False	False	True	L	2568522	572	
