id,name,class
19857577,BLVa_t ascending lateral 1 right,Other
7573476,CP descending contralateral 3 right,Other
7569260,CP1 d 1 right,Other
7692008,CP2/3d obPl 12,Other
1868538,CP4 8 right,Other
8598886,CPLd interneuron,Other
16223688,CPa 1 right,Other
13751194,DH44 2 right,Other
17525174,DL-LH_cand6_sibling right; BLVa12 a 7,LHN
3272218,DM-NPF_conn4_right,Other
2659386,DMS 1 right,Other
2914206,DN1-1 - PDL007 right ,LHN
8496618,DNs-17_right,Other
8698941,DPLal 3 1 neuron right,Other
17990556,DPLam ASB Mackerel right,Other
7422253,DPLam Talon 1 right; DALl1 4,Other
7429933,DPLam Talon 2 right; DALl1 6 STBA,Other
8546775,DPLam hook right,Other
2854715,DPLam neuron right,LHN
20536322,DPLc PDL_right,Other
12989453,DPLc ant med 1,Other
12990900,DPLc ant med 2,Other
5369028,DPLc post med 1 right,Other
12031406,DPLc4_5_right (PB to LAL),Other
2920061,DPLc_ant_lat bilateral right; DN2-1R (ASB TODO A2 11),Other
17323054,DPLc_post_med contralateral right,Other
12746220,DPLl 2 right,Other
17380080,DPLl Gnarly right,Other
17380092,DPLl a 2 right,LHN
11623145,DPLl a,Other
8307514,DPLl i 2(BLDa b 2 pep) right,Other
17278502,DPLl ipsilateral right,Other
13046354,DPLm ant 1 right,Other
13049485,DPLm ant lat 3,Other
9288827,DPLm1 contralateral 1 right; Bilateral DS Smash,Other
3726990,DPLm1 contralateral 2 right; potential RG neuron,Other
8670503,DPLm2 gnarled right,Other
18220289,DPLp_right,LHN
3021609,DPM contralateral horseshoe right,Other
17340973,DPM long neck right,Other
14492880,DPMI_r,Other
16347786,DPMI_r: many branches missing,Other
15672269,DPML1_r?,Other
13645610,DPMl Skis right,Other
4215611,DPMl Sloppy right,Other
5976168,DPMl b 1 loSM right,Other
16571210,DPMl contralateral descending right,Other
17378648,DPMl12_post descending right,Other
1065967,DPMl_ant_ven descending right,Other
8566140,DPMm1 3 (Output of Munin)_right,Other
8571259,DPMm1 4_right ,Other
3598000,DPMm1 Brain descending into VNC 2 right,Other
3595837,DPMm1 Brain descending into VNC right,Other
11306294,DPMm1 FB1_right,Other
2667980,DPMm1 horseshoe b right,Other
13411394,DPMm1 horseshoe c right; DPMm1 FB2_right,Other
18604097,DPMm2,Other
17352470,DPMpl12 Brain into SEZ? right,Other
8227502,DPMpl12 Giraffe 1 right ,Other
13580849,DPMpl12 Giraffe 2 right ,Other
16355225,DPMpl12 Hook 1 right,Other
17663944,DPMpl12 Hook 2 right,Other
6554358,DPMpl12 double descending right,Other
17304269,DPMpl12 tall 1 right,Other
16884962,DPMpl12 tall 2 right,Other
17659219,DPMpl12 twig right,Other
11362334,DPMpl3 a 2 right,Other
11362589,DPMpl3 contralateral right; DPMpl3 4 MEF ant and comm subGC,Other
11278919,DPMpm1 2_right,Other
16195633,DPMpm1 bushy descending right,Other
2669331,DPMpm1 horseshoe right,Other
16450562,DPMpm2 small arc right,Other
9565674,DPlal Curvy right,Other
13137623,DPlal Small 1 right,Other
17378475,DPlal Small 3 right,Other
15638932,DPlal bilateral 1 right,Other
8696919,DPlal crinkled 1 right; DPLal 2 1 neuron 8696920,Other
9097065,DPlal crinkled 2 right,Other
15633329,DPlal ipsilateral 1 right; PVL09 downstream,Other
9698907,DPlal ipsilateral 2 right; BPL with axon around peduncle,Other
17378483,DPlal outer bilateral 1 right,Other
9643439,DPlal outer bilateral 2 right,Other
8248631,22c PN right,ORN uPNs
7612147,Q?; CP23d med of obPl 1 Gap; CP23 d 14_right,CN
