Skeleton ID,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,Class 2,contraction,Original index,dim 0,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,dim 11,dim 12,dim 13
3609202, (AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1)) [] #3609202,sens,sens-thermo;AN,False,False,False,False,P,3487306,1116,unk,thermo;AN,"{3487306: {'neuron_name': ' (AN-R-Sens-B3-ACal-03 (temp sensing right neuron together 1)) [] #3487306', 'Class 1': 'sens', 'Merge Class': 'sens-thermo;AN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 3609202, 'Pair ID': 1116, 'lineage': 'unk', 'Class 2': 'thermo;AN'}}",0,0.00035393001209948,0.000529750172690814,-0.00043579865326819056,-0.0026197767624255206,0.015314202200660371,-0.0031485725398394285,-0.0007763423346086616,9.016003585137321e-18,1.7463415101765047e-17,-2.0884430845530528e-17,2.324233019473809e-17,-1.3253713130025535e-17,-1.1360882130232094e-17,-1.6981560411135334e-17
12225666,"FFN-21, MB2IN-76, mPN (mPN iACT A3 left) [*BAlc post_l akira] #12225666",mPN;FFN,mPN;FFN-multi,False,False,False,True,P,4327684,531,*BAlc post_l akira_,multi,"{4327684: {'neuron_name': 'FFN-21, MB2IN-76, mPN (mPN iACT A3 right) [*BAlc post_r akira] #4327684', 'Class 1': 'mPN;FFN', 'Merge Class': 'mPN;FFN-multi', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 12225666, 'Pair ID': 531, 'lineage': '*BAlc post_r akira_', 'Class 2': 'multi'}}",1,0.07158225978288835,-0.022129260060919365,0.003426819201725481,0.03441059171860235,0.013226883770269366,0.03779664621710334,-0.020044581890911795,0.001445277332775411,-3.48972131039375e-05,-0.000117964144322847,-0.02070342436339606,0.11277170644947694,-0.021102021270864038,-0.006674746508347033
8704079,"mPN, mPN iACT B3 (mPN iACT B3 left) [*BAlp4_l akira] #8704079",mPN,mPN-multi,False,False,False,True,P,16735586,289,*BAlp4_l akira_,multi,"{16735586: {'neuron_name': 'mPN, mPN iACT B3 (mPN iACT B3 right) [*BAlp4_r akira] #16735586', 'Class 1': 'mPN', 'Merge Class': 'mPN-multi', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 8704079, 'Pair ID': 289, 'lineage': '*BAlp4_r akira_', 'Class 2': 'multi'}}",2,0.08483324819955089,-0.03659640440145289,-0.010252643234583001,0.030718271478375924,0.003575999841252176,-0.01374147005159066,0.03201262981415578,0.0009563738473034617,3.979081056102062e-05,-6.141710645785964e-05,-0.016367678348107217,0.08944914974152175,-0.016740436374647095,-0.00561352185830265
8293958,PN (Suckerfish PN left) [*BAmv3_l akira] #8293958,tPN,tPN,False,False,False,True,P,3869488,270,*BAmv3_l akira_,,"{3869488: {'neuron_name': 'PN (Suckerfish PN right) [*BAmv3_r akira] #3869488', 'Class 1': 'tPN', 'Merge Class': 'tPN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 8293958, 'Pair ID': 270, 'lineage': '*BAmv3_r akira_', 'Class 2': nan}}",3,0.06337345746120608,-0.03469350543001316,-0.004623043421723851,0.0577373672162311,0.007879989452385303,-0.0009710938469398244,-0.009888010328926588,0.0013440467085030104,0.004798483950728217,-0.003629303550050444,-0.0029458811724244766,0.023046661415294083,-0.006212958008022964,-0.0013691936728120761
8021456,33a PN (33a PN left) [*BAlp4_l akira] #8021456,uPN,uPN,False,False,False,True,P,13589251,247,*BAlp4_l akira_,,"{13589251: {'neuron_name': '33a PN (33a PN right) [*BAlp4_r akira] #13589251', 'Class 1': 'uPN', 'Merge Class': 'uPN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 8021456, 'Pair ID': 247, 'lineage': '*BAlp4_r akira_', 'Class 2': nan}}",4,0.04487949982985665,-0.022880200717088725,-0.0026568525132657384,0.030995533905372144,0.002155140077146651,-0.015681829217726914,-0.0144203363174967,0.00037185238197085,0.00013470200910483573,3.4850246436574076e-05,-0.007688054612940563,0.04256713616691873,-0.007705442963472048,-0.0027446517099828783
4260935,"MB2IN-183, Thermo PN 5 (PN Only Connects To Togethers Left) [*BAlc post_l akira] #4260935",tPN,tPN,False,False,False,True,P,3756659,75,*BAlc post_l akira_,,"{3756659: {'neuron_name': 'MB2IN-183, Thermo PN 5 (PN Only Connects To Togethers Right) [*BAlc post_r akira] #3756659', 'Class 1': 'tPN', 'Merge Class': 'tPN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 4260935, 'Pair ID': 75, 'lineage': '*BAlc post_r akira_', 'Class 2': nan}}",5,0.06158357729468234,-0.03318807815480828,-0.004541459743151059,0.05385384316358895,0.007127891391343373,-0.0020868208603837765,-0.007815820768113721,0.001032665806648748,7.17406335544344e-05,-0.0005003808227196148,-0.002950673148867099,0.016953053183629635,-0.003642214292260662,0.0010311560399115043
4154421,Thermo PN 4 (Lower Looping PN Left - AVM004) [*BAla12_l akira] #4154421,tPN,tPN,False,False,False,True,P,3690921,73,*BAla12_l akira_,,"{3690921: {'neuron_name': 'Thermo PN 4 (Lower Looping PN Right - AVM004 (BAla1/2)) [*BAla12_r akira] #3690921', 'Class 1': 'tPN', 'Merge Class': 'tPN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 4154421, 'Pair ID': 73, 'lineage': '*BAla12_r akira_', 'Class 2': nan}}",6,0.02862772345953506,-0.01669252528861511,-0.001976643806064392,0.032693797260967626,0.0037203626330850645,0.000997782754585205,-0.0047184407544870405,0.00010895461771111848,0.00023266056790179784,-0.00019075185710441881,-0.0006585590450527853,0.004133396626739455,-0.0008917277061583397,-0.00018952111817628498
4108016,Thermo PN 7 (Upper Looping PN Left - AVM004) [*BAla12_l akira] #4108016,tPN,tPN,False,False,False,True,P,3002410,70,*BAla12_l akira_,,"{3002410: {'neuron_name': 'Thermo PN 7 (Upper Looping PN Right - AVM004 (BAla1/2)) [*BAla12_r akira] #3002410', 'Class 1': 'tPN', 'Merge Class': 'tPN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': True, 'Hemisphere': 'R', 'Pair': 4108016, 'Pair ID': 70, 'lineage': '*BAla12_r akira_', 'Class 2': nan}}",7,0.023555017560229614,-0.013943867706965018,-0.0018867128009593893,0.026910268051498258,0.0026504671493539885,-0.0010402414835756263,-0.002489537518020468,0.00013507839877380126,0.00024531564932131576,-0.0001970762597660742,-0.0012126340414868764,0.007178550598036188,-0.0014615764155730816,-0.000400870364995051
3639968, (AN-L-Sens-B3-ACal-02 (temp sensing left neuron together 2)) [] #3639968,sens,sens-thermo;AN,False,False,False,False,P,18630153,1115,unk,thermo;AN,"{18630153: {'neuron_name': ' (AN-R-Sens-B3-ACal-02 (temp sensing right neuron together 2)) [] #18630153', 'Class 1': 'sens', 'Merge Class': 'sens-thermo;AN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 3639968, 'Pair ID': 1115, 'lineage': 'unk', 'Class 2': 'thermo;AN'}}",8,0.0004133376371314262,0.0009595113475531681,-0.0007111743055724482,-0.0012763227540607013,0.008512325252329525,-0.0019077004946889554,-0.0003523092990851665,4.548252476930246e-19,5.426053097727406e-19,-2.3546561289136714e-18,1.8909851814423976e-18,1.9402267072101607e-18,-8.669056788003565e-18,-2.5852085487645344e-19
3608397, (AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone)) [] #3608397,sens,sens-thermo;AN,False,False,False,False,P,3650600,1114,unk,thermo;AN,"{3650600: {'neuron_name': ' (AN-R-Sens-B3-ACal-01 (temp sensing right neuron alone)) [] #3650600', 'Class 1': 'sens', 'Merge Class': 'sens-thermo;AN', 'is_pdiff': False, 'is_usplit': False, 'is_LNpre': False, 'is_brain': False, 'Hemisphere': 'R', 'Pair': 3608397, 'Pair ID': 1114, 'lineage': 'unk', 'Class 2': 'thermo;AN'}}",9,0.00025285709875520507,0.0005544011297963341,-0.00044126641183760715,-0.0010526427387590107,0.006997259132766323,-0.0015624387261143438,-0.00024051828043569035,1.6581941351141054e-19,-1.0484990146802437e-19,2.2482013718777146e-19,1.596410059788419e-18,1.725268473332122e-18,2.397015946041822e-18,-2.4662634433141577e-18
