inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,6.8545454545454545,7.151001381295035
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,,
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,,6.934027777777778
5,668627,motor-mVAN,#000000,,
6,677717,KC-4claw,#da015d,6.875,7.151001381295035
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,,6.934027777777778
9,855719,motor-mAN,#000000,,6.934027777777778
10,858479,O_dSEZ,#b1826d,,7.0865977736904995
11,865151,O_dSEZ,#b1826d,5.585365853658536,7.0865977736904995
12,865801,motor-mAN,#000000,4.5,6.934027777777778
13,867393,unk,#acaac8,6.444444444444445,7.758129792299835
14,869360,O_dSEZ,#b1826d,,7.0865977736904995
15,873148,motor-mAN,#000000,7.0,6.934027777777778
16,873782,motor-mAN,#000000,7.5,6.934027777777778
17,875613,motor-mAN,#000000,,6.934027777777778
18,882339,motor-mAN,#000000,,6.934027777777778
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,6.934027777777778
23,937332,motor-mAN,#000000,5.222222222222222,6.934027777777778
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,6.5,7.0865977736904995
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,7.878787878787879,7.047627741207333
29,1137946,unk,#acaac8,9.7,7.758129792299835
30,1141813,unk,#acaac8,,7.758129792299835
31,1218587,motor-mAN,#000000,,6.934027777777778
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,7.0,7.758129792299835
51,1591351,FFN,#ba6efd,8.636363636363637,7.086408943535166
52,1622901,O_dVNC,#ff9070,6.2,7.047627741207333
53,1646076,unk,#acaac8,6.588235294117647,7.758129792299835
54,1678567,O_dVNC,#ff9070,5.33,7.047627741207333
55,1679034,unk,#acaac8,7.172413793103448,7.758129792299835
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,,7.758129792299835
59,1805418,unk,#acaac8,7.260869565217392,7.758129792299835
60,1805669,unk,#acaac8,8.048780487804878,7.758129792299835
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,7.894117647058824,7.758129792299835
63,1924051,O_dSEZ,#b1826d,,7.0865977736904995
64,1961182,unk,#acaac8,8.55813953488372,7.758129792299835
65,2142817,unk,#acaac8,7.222222222222222,7.758129792299835
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,9.25
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,4.6521739130434785,6.22641891590055
77,2283495,O_RG-IPC,#916e56,5.755102040816326,6.0951743587139315
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,6.215909090909091,6.0951743587139315
81,2357110,O_RG-IPC,#916e56,6.279569892473118,6.0951743587139315
82,2369444,LHN;CN,#959167,5.37,7.315131783674466
83,2379529,unk,#acaac8,8.297872340425531,7.758129792299835
84,2379544,unk,#acaac8,8.97872340425532,7.758129792299835
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,8.724137931034482,7.758129792299835
87,2439067,LHN,#d4e29e,8.021978021978022,8.246242880406804
88,2439134,LHN,#d4e29e,8.632911392405063,8.246242880406804
89,2439150,unk,#acaac8,8.447761194029852,7.758129792299835
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,7.9375,7.758129792299835
93,2505266,unk,#acaac8,6.881578947368421,7.758129792299835
94,2506050,MBIN-DAN,#db7e01,4.56,5.129478281827557
95,2512602,LON,#97bca8,9.5,9.25
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,,7.758129792299835
100,2568465,mPN-multi,#05acc6,8.805555555555555,8.00069367893011
101,2568522,unk,#acaac8,8.0,7.758129792299835
102,2571761,sens-ORN,#00753f,,
103,2582391,sens-ORN,#00753f,,
104,2584838,sens-ORN,#00753f,,
105,2597151,unk,#acaac8,5.191919191919192,7.758129792299835
106,2608843,sens-ORN,#00753f,,
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,,
109,2612527,mPN-multi,#05acc6,8.0,8.00069367893011
110,2628785,unk,#acaac8,8.18,7.758129792299835
111,2648254,O_dSEZ,#b1826d,6.733333333333333,7.0865977736904995
112,2650887,CN2,#acaa59,5.828282828282828,5.8381977843897355
113,2652641,unk,#acaac8,,7.758129792299835
114,2655798,unk,#acaac8,8.38888888888889,7.758129792299835
115,2659386,O_RG,#916e56,5.934210526315789,6.22641891590055
116,2659504,unk,#acaac8,8.344262295081966,7.758129792299835
117,2663649,O_dUnk,#a55949,9.09433962264151,7.518957346084735
118,2667061,FFN,#ba6efd,7.674698795180723,7.086408943535166
119,2667980,unk,#acaac8,7.014084507042254,7.758129792299835
120,2669331,LHN2,#ebffd4,7.095238095238095,7.842298499152527
121,2669844,O_dVNC,#ff9070,7.293478260869565,7.047627741207333
122,2670619,O_dVNC,#ff9070,9.375,7.047627741207333
123,2772093,unk,#acaac8,8.75,7.758129792299835
124,2775707,LON,#97bca8,,9.25
125,2775943,LON,#97bca8,,9.25
126,2776773,LHN,#d4e29e,9.295454545454545,8.246242880406804
127,2797480,LHN2,#ebffd4,7.329113924050633,7.842298499152527
128,2846555,unk,#acaac8,9.6,7.758129792299835
129,2852273,O_RG-IPC,#916e56,6.641304347826087,6.0951743587139315
130,2854715,LHN2,#ebffd4,7.739583333333333,7.842298499152527
131,2878185,unk,#acaac8,9.6,7.758129792299835
132,2881070,unk,#acaac8,8.928571428571429,7.758129792299835
133,2885630,unk,#acaac8,,7.758129792299835
134,2910892,unk,#acaac8,,7.758129792299835
135,2911847,unk,#acaac8,9.8,7.758129792299835
136,2914206,LHN,#d4e29e,8.842105263157896,8.246242880406804
137,2920061,unk,#acaac8,8.64864864864865,7.758129792299835
138,2920554,unk,#acaac8,7.663265306122449,7.758129792299835
139,2921933,LHN,#d4e29e,8.661971830985916,8.246242880406804
140,2932028,LHN,#d4e29e,8.139240506329115,8.246242880406804
141,2935173,LHN,#d4e29e,8.341176470588236,8.246242880406804
142,2935198,LHN2,#ebffd4,8.216867469879517,7.842298499152527
143,2963280,LHN,#d4e29e,7.724489795918367,8.246242880406804
144,2964760,unk,#acaac8,6.891304347826087,7.758129792299835
145,2966602,LHN;CN,#959167,5.3,7.315131783674466
146,2979486,LHN,#d4e29e,7.544117647058823,8.246242880406804
147,2979675,unk,#acaac8,8.605633802816902,7.758129792299835
148,2988292,LHN2,#ebffd4,7.98876404494382,7.842298499152527
149,3002410,tPN,#59b5df,7.666666666666667,7.750257678829107
150,3009700,O_dVNC,#ff9070,8.21951219512195,7.047627741207333
151,3010486,LHN2,#ebffd4,7.580246913580247,7.842298499152527
152,3021609,unk,#acaac8,6.88659793814433,7.758129792299835
153,3027876,unk,#acaac8,5.01,7.758129792299835
154,3032520,sens-MN,#366962,,
155,3036249,sens-MN,#366962,,
156,3043970,unk,#acaac8,8.64516129032258,7.758129792299835
157,3044500,O_dSEZ,#b1826d,6.63265306122449,7.0865977736904995
158,3046503,O_RG-IPC,#916e56,6.258426966292135,6.0951743587139315
159,3048606,O_dVNC,#ff9070,9.2,7.047627741207333
160,3050645,sens-MN,#366962,,
161,3054101,sens-MN,#366962,,
162,3058132,unk,#acaac8,9.333333333333334,7.758129792299835
163,3060480,unk,#acaac8,8.321428571428571,7.758129792299835
164,3061422,unk,#acaac8,7.283333333333333,7.758129792299835
165,3071301,sens-MN,#366962,,
166,3122533,unk,#acaac8,9.833333333333334,7.758129792299835
167,3123905,sens-MN,#366962,,
168,3149791,unk,#acaac8,6.595505617977528,7.758129792299835
169,3157405,CN,#8c7700,5.42,6.139184183214305
170,3158085,unk,#acaac8,5.938775510204081,7.758129792299835
171,3158123,LHN,#d4e29e,7.91764705882353,8.246242880406804
172,3158543,sens-ORN,#00753f,,
173,3166745,unk,#acaac8,8.75,7.758129792299835
174,3166836,unk,#acaac8,9.25,7.758129792299835
175,3167039,unk,#acaac8,8.674418604651162,7.758129792299835
176,3180681,unk,#acaac8,,7.758129792299835
177,3182103,unk,#acaac8,9.75,7.758129792299835
178,3192952,sens-AN,#018700,,
179,3199456,sens-MN,#366962,,
180,3232277,CN,#8c7700,7.869565217391305,6.139184183214305
181,3232808,unk,#acaac8,8.490196078431373,7.758129792299835
182,3234817,APL,#ff6200,5.42,5.625789473684211
183,3235409,unk,#acaac8,7.923076923076923,7.758129792299835
184,3251140,unk,#acaac8,9.642857142857142,7.758129792299835
185,3272218,unk,#acaac8,7.819672131147541,7.758129792299835
186,3276003,unk,#acaac8,5.724489795918367,7.758129792299835
187,3281684,O_RG-IPC,#916e56,6.24,6.0951743587139315
188,3299214,MBON,#f9eb4d,4.69,6.02012535575746
189,3340561,motor-mAN,#000000,,6.934027777777778
190,3347708,KC-1claw,#ff3464,5.954545454545454,7.041051895563636
191,3347834,KC-3claw,#ac1a13,6.45945945945946,7.044169623206576
192,3410499,sens-ORN,#00753f,,
193,3410506,sens-ORN,#00753f,,
194,3414508,unk,#acaac8,5.17,7.758129792299835
195,3420915,FFN,#ba6efd,5.686274509803922,7.086408943535166
196,3436420,unk,#acaac8,5.073684210526316,7.758129792299835
197,3450442,mPN-olfac,#05b3aa,7.321428571428571,8.240455565455568
198,3450751,LHN2,#ebffd4,8.297872340425531,7.842298499152527
199,3464773,sens-ORN,#00753f,,
200,3465659,sens-ORN,#00753f,,
201,3486381,uPN,#72b8ff,10.0,8.312860262860264
202,3486867,O_dSEZ,#b1826d,8.666666666666666,7.0865977736904995
203,3486950,unk,#acaac8,7.0,7.758129792299835
204,3487306,sens-thermo,#49a150,,
205,3497901,KC-4claw,#da015d,7.079365079365079,7.151001381295035
206,3498479,unk,#acaac8,5.29,7.758129792299835
207,3511996,sens-ORN,#00753f,,
208,3522293,KC-5claw,#ff3628,7.111111111111111,6.963623295581136
209,3538129,mPN-olfac,#05b3aa,8.333333333333334,8.240455565455568
210,3539170,unk,#acaac8,8.666666666666666,7.758129792299835
211,3543931,unk,#acaac8,7.5,7.758129792299835
212,3547397,sens-ORN,#00753f,,
213,3556191,sens-AN,#018700,,
214,3561724,O_RG-IPC,#916e56,6.573033707865169,6.0951743587139315
215,3586984,sens-AN,#018700,,
