,0,1,2,3,4
29,0,0.0,0.0,1.0,0
37365,0,0.0,0.0,1.0,0
40045,0,0.0,0.0,1.0,0
40152,0,0.0,0.0,1.0,0
677717,0,0.0,0.0,1.0,0
766246,0,0.0,0.0,1.0,0
855719,0,1.0,1.0,2.0,1
858479,0,1.0,1.0,2.0,0
865151,0,1.0,1.0,2.0,1
867393,0,0.0,0.0,1.0,0
869360,0,0.0,0.0,1.0,0
891237,0,2.0,,,0
900032,0,0.0,0.0,1.0,0
902038,0,0.0,0.0,1.0,0
902877,0,0.0,0.0,1.0,0
945309,0,1.0,,,1
946481,0,0.0,0.0,1.0,0
992646,0,1.0,1.0,2.0,1
1011675,0,0.0,0.0,3.0,0
1065967,0,0.0,0.0,1.0,0
1137946,0,0.0,0.0,1.0,0
1141813,0,0.0,0.0,1.0,0
1347886,0,1.0,1.0,2.0,1
1351125,0,1.0,1.0,4.0,1
1367171,0,0.0,0.0,5.0,0
1375101,0,3.0,2.0,6.0,0
1377586,0,0.0,,,0
1391179,0,0.0,0.0,1.0,0
1392771,0,0.0,3.0,7.0,0
1395971,0,0.0,0.0,1.0,0
1398253,0,0.0,0.0,1.0,0
1400725,0,0.0,4.0,8.0,0
1405493,0,0.0,0.0,0.0,0
1406463,0,0.0,0.0,9.0,0
1414206,0,0.0,2.0,,0
1415168,0,1.0,1.0,4.0,1
1419315,0,1.0,1.0,2.0,1
1427012,0,1.0,1.0,,1
1428271,0,1.0,,,1
1429969,0,,,,1
1431256,0,1.0,1.0,,1
1432836,0,1.0,,,1
1435466,0,3.0,,,1
1591270,0,0.0,0.0,1.0,0
1591351,0,0.0,0.0,1.0,0
1622901,0,0.0,0.0,1.0,0
1646076,0,0.0,0.0,1.0,0
1678567,0,0.0,0.0,1.0,0
1679034,0,0.0,0.0,1.0,0
1706716,0,0.0,0.0,1.0,0
1709802,1,,,,2
1715990,0,0.0,0.0,1.0,0
1805406,0,0.0,0.0,1.0,0
1805418,0,0.0,0.0,1.0,0
1805669,0,0.0,0.0,1.0,0
1856512,0,0.0,0.0,1.0,0
1868538,0,0.0,0.0,1.0,0
1924051,0,1.0,1.0,2.0,1
1961182,0,0.0,0.0,1.0,0
2142817,0,0.0,0.0,1.0,0
2200028,0,0.0,0.0,1.0,0
2204467,0,0.0,0.0,1.0,0
2206279,0,0.0,0.0,1.0,0
2209091,0,0.0,0.0,1.0,0
2215247,0,0.0,0.0,1.0,0
2215447,0,0.0,0.0,1.0,0
2215622,0,0.0,0.0,1.0,0
2216131,0,0.0,0.0,1.0,0
2216187,0,0.0,0.0,1.0,0
2216445,0,0.0,0.0,1.0,0
2260755,0,0.0,5.0,10.0,0
2268281,2,4.0,,,3
2283495,0,0.0,0.0,1.0,0
2284021,0,0.0,0.0,1.0,0
2305234,2,4.0,,,3
2340336,0,0.0,0.0,1.0,0
2355126,0,0.0,0.0,1.0,0
2357110,0,0.0,0.0,1.0,0
2369444,0,0.0,0.0,1.0,0
2379529,0,0.0,0.0,1.0,0
2379544,0,0.0,0.0,1.0,0
2438653,0,0.0,0.0,1.0,0
2439067,0,0.0,0.0,1.0,0
2439134,0,0.0,0.0,1.0,0
2439150,0,0.0,0.0,1.0,0
2456826,0,0.0,0.0,1.0,0
2495308,2,4.0,,,3
2504517,0,0.0,0.0,1.0,0
2505266,0,0.0,0.0,1.0,0
2505675,2,4.0,,,3
2506050,0,0.0,0.0,1.0,0
2512602,0,0.0,0.0,1.0,0
2524026,2,4.0,,,3
2532841,0,0.0,0.0,1.0,0
2544902,0,0.0,0.0,1.0,0
2552701,0,0.0,0.0,1.0,0
2557644,0,0.0,0.0,1.0,0
2568465,0,0.0,0.0,1.0,0
2568522,0,0.0,0.0,1.0,0
2571761,0,0.0,0.0,1.0,0
